District,Season,season_temporal,transplant_month,growth_start_month,harvest_start_month,temp_diurnal_range,temp_mean,gdd_proxy,svp_proxy,vpd_proxy,humidity_mid,season_sin,season_cos,area_log,area_x_diurnal,temp_x_humidity,Season_enc,Crop Name_enc,Transplant_enc,Growth_enc,Harvest_enc,District_enc,AP Ratio
Chuadanga,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,11.358829783630526,2400104.0,1885.0,1,0,6,10,26,10,1.096677477
CoxsBazar,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.107947006036204,5076568.0,1885.0,1,0,6,10,26,11,1.110415541
Cumilla,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.699298294379158,9170476.0,1885.0,1,0,6,10,26,12,0.9096474381
Dhaka,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,9.836439217783001,523656.0,1885.0,1,0,6,10,26,13,0.9652443589
Dinajpur,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,13.377738660353739,18073216.0,1885.0,1,0,6,10,26,14,1.078918993
Faridpur,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.164505581848147,5371968.0,1885.0,1,0,6,10,26,15,1.040175965
Feni,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.002302707930347,4567612.0,1885.0,1,0,6,10,26,16,1.202152897
Gaibandha,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.591307835066242,8231748.0,1885.0,1,0,6,10,26,17,1.126656938
Gazipur,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,11.630112767657403,3148096.0,1885.0,1,0,6,10,26,18,1.185907927
Gopalganj,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,11.001999836203904,1679804.0,1885.0,1,0,6,10,26,19,0.7519377261
Habiganj,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.410909649861741,6872992.0,1885.0,1,0,6,10,26,20,1.064665287
Jamalpur,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.490454277515276,7442036.0,1885.0,1,0,6,10,26,21,0.9535003593
Jashore,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.733424948293115,9488836.0,1885.0,1,0,6,10,26,22,1.14695459
Jhallokati,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,11.667070430495446,3266620.0,1885.0,1,0,6,10,26,23,0.7944799211
Jhenaidah,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.440872003240084,7082040.0,1885.0,1,0,6,10,26,24,1.369529119
Joypurhat,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.04782106850661,4780328.0,1885.0,1,0,6,10,26,25,1.137928611
Khagrachari,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,11.107885266575144,1867432.0,1885.0,1,0,6,10,26,26,1.304375206
Khulna,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.377762889655468,6648908.0,1885.0,1,0,6,10,26,27,1.120950388
Kishoreganj,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.135269207384752,5217184.0,1885.0,1,0,6,10,26,28,1.158322957
Kurigram,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.55500267489646,7938252.0,1885.0,1,0,6,10,26,29,1.102067307
Kushtia,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.328170802090881,6327216.0,1885.0,1,0,6,10,26,30,1.200374383
Lakshmipur,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.129267192289621,5185964.0,1885.0,1,0,6,10,26,31,1.053263
Lalmonirhat,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.154521423145216,5318600.0,1885.0,1,0,6,10,26,32,1.141163464
Madaripur,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,10.61513749632705,1140888.0,1885.0,1,0,6,10,26,33,0.8303146321
Magura,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,11.873609362306066,4016040.0,1885.0,1,0,6,10,26,34,1.062643798
Manikganj,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,9.876013575535373,544796.0,1885.0,1,0,6,10,26,35,0.9198231999
Meherpur,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,11.320856556721393,2310672.0,1885.0,1,0,6,10,26,36,1.279203626
Moulvibazar,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.4335348579884,7030268.0,1885.0,1,0,6,10,26,37,1.180622986
Munshiganj,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,10.641201706421198,1171016.0,1885.0,1,0,6,10,26,38,0.3934053847
Mymensingh,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,13.40563825241287,18584552.0,1885.0,1,0,6,10,26,39,0.9711571202
Naogaon,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,13.05634108936221,13105512.0,1885.0,1,0,6,10,26,40,1.082366565
Narail,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,11.353108763516344,2386412.0,1885.0,1,0,6,10,26,41,1.068098887
Narayanganj,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,9.891263137913406,553168.0,1885.0,1,0,6,10,26,42,0.5482385098
Narsingdi,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,11.490199167913751,2737056.0,1885.0,1,0,6,10,26,43,1.039313774
Natore,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.115584321870035,5115488.0,1885.0,1,0,6,10,26,44,1.119438849
Netrokona,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.618016719736048,8454572.0,1885.0,1,0,6,10,26,45,1.091058424
Nilphamari,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.541047332812484,7828240.0,1885.0,1,0,6,10,26,46,1.103355033
Noakhali,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.855717158440724,10723188.0,1885.0,1,0,6,10,26,47,1.033623956
Pabna,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.310117295816775,6214012.0,1885.0,1,0,6,10,26,48,0.8668718374
Panchagar,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.41374919711698,6892536.0,1885.0,1,0,6,10,26,49,1.246549021
Patuakhali,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.97579653412048,12091324.0,1885.0,1,0,6,10,26,50,0.749345233
Pirojpur,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,11.951431977155393,4341064.0,1885.0,1,0,6,10,26,51,0.6449257601
Rajbari,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,11.673154775289367,3286556.0,1885.0,1,0,6,10,26,52,0.9136968912
Rajshahi,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.11481225425113,5111540.0,1885.0,1,0,6,10,26,53,1.273851716
Rangamati,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,10.085434038999999,671720.0,1885.0,1,0,6,10,26,54,1.199041267
Rangpur,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.911780608134977,11341540.0,1885.0,1,0,6,10,26,55,1.092310921
Satkhira,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.244066645039382,5816832.0,1885.0,1,0,6,10,26,56,1.108450786
Shariatpur,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,10.401197541154744,921144.0,1885.0,1,0,6,10,26,57,0.701501611
Sherpur,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.217946867092463,5666864.0,1885.0,1,0,6,10,26,58,0.9527689389
Sirajganj,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.206907297111613,5604648.0,1885.0,1,0,6,10,26,59,1.104498266
Sunamganj,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.198987605806943,5560436.0,1885.0,1,0,6,10,26,60,1.044851879
Sylhet,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.725285993777046,9411920.0,1885.0,1,0,6,10,26,61,1.05969834
Tangail,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.425946858376713,6977124.0,1885.0,1,0,6,10,26,62,0.8334115891
Thakurgaon,Kharif 2,2,6.0,7.0,11.0,28.0,26.0,16.0,3.362540496522866,0.9246986365437883,72.5,-0.8660254037844385,-0.5000000000000004,12.684902830866326,9039408.0,1885.0,1,0,6,10,26,63,1.083695746
Bagerhat,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,5.123963979403259,1670.0,1750.0,0,1,6,13,4,0,6.700598802
Bandarban,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.859812404361672,1280.0,1750.0,0,1,6,13,4,1,1.3046875
Barguna,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,7.37650812632622,15970.0,1750.0,0,1,6,13,4,2,0.9198497182
Barishal,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,7.20934025660291,13510.0,1750.0,0,1,6,13,4,3,4.071058475
Bhola,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,5.003946305945459,1480.0,1750.0,0,1,6,13,4,4,5.155405405
Bogura,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,5.455321115357702,2330.0,1750.0,0,1,6,13,4,5,3.39055794
Brahmanbaria,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,2.772588722239781,150.0,1750.0,0,1,6,13,4,6,0.8666666667
Chandpur,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,3.9318256327243257,500.0,1750.0,0,1,6,13,4,7,5.26
Chapai Nawabganj,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.276666119016055,710.0,1750.0,0,1,6,13,4,8,2.183098592
Chattogram,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.564348191467836,950.0,1750.0,0,1,6,13,4,9,4.810526316
Chuadanga,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.356708826689592,770.0,1750.0,0,1,6,13,4,10,4.701298701
CoxsBazar,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.962844630259907,1420.0,1750.0,0,1,6,13,4,11,2.605633803
Cumilla,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,5.802118375377063,3300.0,1750.0,0,1,6,13,4,12,1.081818182
Dhaka,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,3.4657359027997265,310.0,1750.0,0,1,6,13,4,13,7.580645161
Dinajpur,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,3.871201010907891,470.0,1750.0,0,1,6,13,4,14,12.10638298
Faridpur,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,6.173786103901937,4790.0,1750.0,0,1,6,13,4,15,1.350730689
Feni,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,3.367295829986474,280.0,1750.0,0,1,6,13,4,16,1.964285714
Gaibandha,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,2.4849066497880004,110.0,1750.0,0,1,6,13,4,17,13.54545455
Gazipur,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,3.713572066704308,400.0,1750.0,0,1,6,13,4,18,5.9
Gopalganj,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,3.970291913552122,520.0,1750.0,0,1,6,13,4,19,11.36538462
Habiganj,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.955827057601261,1410.0,1750.0,0,1,6,13,4,20,3.780141844
Jamalpur,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.465908118654584,860.0,1750.0,0,1,6,13,4,21,4.069767442
Jashore,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,5.3230099791384085,2040.0,1750.0,0,1,6,13,4,22,5.980392157
Jhallokati,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,6.610696044717759,7420.0,1750.0,0,1,6,13,4,23,6.132075472
Jhenaidah,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.584967478670572,970.0,1750.0,0,1,6,13,4,24,14.50515464
Joypurhat,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,3.4657359027997265,310.0,1750.0,0,1,6,13,4,25,9.774193548
Khagrachari,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.867534450455582,1290.0,1750.0,0,1,6,13,4,26,2.062015504
Khulna,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,6.385194398997726,5920.0,1750.0,0,1,6,13,4,27,1.491554054
Kishoreganj,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.110873864173311,600.0,1750.0,0,1,6,13,4,28,9.45
Kurigram,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,3.2188758248682006,240.0,1750.0,0,1,6,13,4,29,6.958333333
Kushtia,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.1588830833596715,630.0,1750.0,0,1,6,13,4,30,9.238095238
Lakshmipur,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,2.6390573296152584,130.0,1750.0,0,1,6,13,4,31,27.69230769
Lalmonirhat,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,1.9459101490553132,60.0,1750.0,0,1,6,13,4,32,1.5
Madaripur,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,3.5263605246161616,330.0,1750.0,0,1,6,13,4,33,21.18181818
Magura,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.574710978503383,960.0,1750.0,0,1,6,13,4,34,10.33333333
Manikganj,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,2.9444389791664403,180.0,1750.0,0,1,6,13,4,35,4.111111111
Meherpur,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.624972813284271,1010.0,1750.0,0,1,6,13,4,36,1.851485149
Moulvibazar,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.465908118654584,860.0,1750.0,0,1,6,13,4,37,8.976744186
Munshiganj,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,2.772588722239781,150.0,1750.0,0,1,6,13,4,38,9.133333333
Mymensingh,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,6.0112671744041615,4070.0,1750.0,0,1,6,13,4,39,1.680589681
Naogaon,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.143134726391533,620.0,1750.0,0,1,6,13,4,40,5.548387097
Narail,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,5.389071729816501,2180.0,1750.0,0,1,6,13,4,41,6.119266055
Narayanganj,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,2.1972245773362196,80.0,1750.0,0,1,6,13,4,42,17.125
Narsingdi,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,3.367295829986474,280.0,1750.0,0,1,6,13,4,43,7.857142857
Natore,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,5.602118820879701,2700.0,1750.0,0,1,6,13,4,44,3.074074074
Netrokona,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.174387269895637,640.0,1750.0,0,1,6,13,4,45,5.109375
Nilphamari,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,1.791759469228055,50.0,1750.0,0,1,6,13,4,46,20.8
Noakhali,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.382026634673881,790.0,1750.0,0,1,6,13,4,47,7.417721519
Pabna,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,4.406719247264253,810.0,1750.0,0,1,6,13,4,48,3.0
Panchagar,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,2.995732273553991,190.0,1750.0,0,1,6,13,4,49,6.315789474
Patuakhali,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,5.993961427306569,4000.0,1750.0,0,1,6,13,4,50,1.2325
Pirojpur,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,5.978885764901122,3940.0,1750.0,0,1,6,13,4,51,11.64720812
Rajbari,Kharif 1,1,6.0,6.0,8.0,10.0,25.0,15.0,3.1688149728170982,0.9506444918451296,70.0,0.8660254037844387,-0.4999999999999998,5.455321115357702,2330.0,1750.0,0,1,6,13,4,52,2.30472103
